,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,exp_pts
6,Andrew Tye,140800,Perth Scorchers,0,0,1,BOWL,1,1,185.2402178137143
9,Beau Webster,164000,Melbourne Stars,0,1,1,ALLR,1,1,244.10499905425232
11,Ben Dwarshuis,136900,Sydney Sixers,0,0,1,BOWL,1,1,210.1530619238028
44,Hilton Cartwright,104600,Melbourne Stars,0,1,0,BAT,1,1,226.24332492380773
46,Jack Edwards,136500,Sydney Sixers,0,1,1,ALLR,1,1,194.44562775072296
57,Jamie Overton,207700,Adelaide Strikers,0,1,1,ALLR,1,1,221.08342629365094
58,Jason Behrendorff,160800,Perth Scorchers,0,0,1,BOWL,1,1,212.49329211229986
62,Joe Clarke,117500,Melbourne Stars,1,1,0,WK,1,1,200.1933225488221
92,Matthew Short,304200,Adelaide Strikers,0,1,1,ALLR,1,1,288.0593516174605
114,Peter Siddle,72400,Melbourne Stars,0,0,1,BOWL,1,1,209.365312914744
134,Tom Curran,152000,Melbourne Stars,0,1,1,ALLR,1,1,226.91195525790724
135,Tom Rogers,87700,Melbourne Stars,0,1,0,BAT,1,1,174.78806424774794
