team,season,rank,rank_group
Adelaide Strikers,1,6,Low
Melbourne Stars,1,4,Middle
Sydney Sixers,1,3,Middle
Brisbane Heat,1,5,Middle
Perth Scorchers,1,1,High
Sydney Thunder,1,8,Low
Hobart Hurricanes,1,2,High
Melbourne Renegades,1,7,Low
Adelaide Strikers,2,5,Middle
Melbourne Stars,2,3,Middle
Sydney Sixers,2,7,Low
Brisbane Heat,2,4,Middle
Perth Scorchers,2,2,High
Sydney Thunder,2,8,Low
Hobart Hurricanes,2,6,Low
Melbourne Renegades,2,1,High
Adelaide Strikers,3,7,Low
Melbourne Stars,3,1,High
Sydney Sixers,3,2,High
Brisbane Heat,3,5,Middle
Perth Scorchers,3,3,Middle
Sydney Thunder,3,8,Low
Hobart Hurricanes,3,4,Middle
Melbourne Renegades,3,6,Low
Adelaide Strikers,4,1,High
Melbourne Stars,4,3,Middle
Sydney Sixers,4,4,Middle
Brisbane Heat,4,8,Low
Perth Scorchers,4,2,High
Sydney Thunder,4,7,Low
Hobart Hurricanes,4,5,Middle
Melbourne Renegades,4,6,Low
Adelaide Strikers,5,1,High
Melbourne Stars,5,2,High
Sydney Sixers,5,8,Low
Brisbane Heat,5,6,Low
Perth Scorchers,5,3,Middle
Sydney Thunder,5,4,Middle
Hobart Hurricanes,5,7,Low
Melbourne Renegades,5,5,Middle
Adelaide Strikers,6,6,Low
Melbourne Stars,6,4,Middle
Sydney Sixers,6,3,Middle
Brisbane Heat,6,2,High
Perth Scorchers,6,1,High
Sydney Thunder,6,8,Low
Hobart Hurricanes,6,7,Low
Melbourne Renegades,6,5,Middle
Adelaide Strikers,7,2,High
Melbourne Stars,7,8,Low
Sydney Sixers,7,5,Middle
Brisbane Heat,7,7,Low
Perth Scorchers,7,1,High
Sydney Thunder,7,6,Low
Hobart Hurricanes,7,4,Middle
Melbourne Renegades,7,3,Middle
Adelaide Strikers,8,7,Low
Melbourne Stars,8,4,Middle
Sydney Sixers,8,3,Middle
Brisbane Heat,8,5,Middle
Perth Scorchers,8,8,Low
Sydney Thunder,8,6,Low
Hobart Hurricanes,8,1,High
Melbourne Renegades,8,2,High
Adelaide Strikers,9,3,Middle
Melbourne Stars,9,1,High
Sydney Sixers,9,2,High
Brisbane Heat,9,7,Low
Perth Scorchers,9,6,Low
Sydney Thunder,9,5,Middle
Hobart Hurricanes,9,4,Middle
Melbourne Renegades,9,8,Low
Adelaide Strikers,10,5,Middle
Melbourne Stars,10,7,Low
Sydney Sixers,10,1,High
Brisbane Heat,10,4,Middle
Perth Scorchers,10,2,High
Sydney Thunder,10,3,Middle
Hobart Hurricanes,10,6,Low
Melbourne Renegades,10,8,Low
Adelaide Strikers,11,4,Middle
Melbourne Stars,11,6,Low
Sydney Sixers,11,2,High
Brisbane Heat,11,7,Low
Perth Scorchers,11,1,High
Sydney Thunder,11,3,Middle
Hobart Hurricanes,11,5,Middle
Melbourne Renegades,11,8,Low
Adelaide Strikers,12,7,Low
Melbourne Stars,12,8,Low
Sydney Sixers,12,2,High
Brisbane Heat,12,5,Middle
Perth Scorchers,12,1,High
Sydney Thunder,12,4,Middle
Hobart Hurricanes,12,6,Low
Melbourne Renegades,12,3,Middle
Adelaide Strikers,13,4,Middle
Melbourne Stars,13,6,Low
Sydney Sixers,13,2,High
Brisbane Heat,13,1,High
Perth Scorchers,13,3,Middle
Sydney Thunder,13,8,Low
Hobart Hurricanes,13,5,Middle
Melbourne Renegades,13,7,Low
Adelaide Strikers,14,6,Low
Melbourne Stars,14,7,Low
Sydney Sixers,14,2,High
Brisbane Heat,14,3,Middle
Perth Scorchers,14,1,High
Sydney Thunder,14,5,Middle
Hobart Hurricanes,14,4,Middle
Melbourne Renegades,14,8,Low
